ID;Year;Bibtex-entry;Title;Abstract;Author1;Author2;Author3;Author4;Author5;Author6;Keyword1;Keyword2;Keyword3;Keyword4;Keyword5;Keyword6;Keyword7;Keyword8
73;2020;rahman2021semantic;Semantic Annotations in Clinical Guidelines;Clinical guidelines are evidence-based recommendations developed to assist practitioners in their decisions on appropriate care for patients with specific clinical circumstances. They provide succinct instructions such as what drugs should be given or taken for a particular condition, how long such treatment should be given, what tests should be conducted, or other situational clinical circumstances for certain diseases. However, as they are described in natural language, they are prone to problems such as variability and ambiguity. In this paper, we propose an approach to automatically infer the main components in clinical guideline sentences. Knowing the key concepts in the sentences, we can then feed them to model checkers to validate their correctness. We adapt semantic role labelling approach to mark the key entities in our problem domain. We also implement the technique used for Named-Entity Recognition (NER) task and compare the results. The aim of our work is to build a reasoning framework that combines the information gained from real patient data and clinical practice, with clinical guidelines to give more suitable personalised recommendations for treating patients.;Fahrurrozi Rahman;Juliana Bowles;;;;;Therapy algorithms;Formal verification;Natural language processing;Machine learning;Text tagging;;;
74;2020;munbodh2021deriving;Deriving Performance Measures of Workflow in Radiation Therapy from Real-Time Data;Radiation treatment planning is a complex process with multiple, dependent steps involving an interdisciplinary patient care team. We have previously implemented an interactive, web-based dashboard, which requires a standardised radiation treatment planning workflow and provides real-time monitoring and visualization of the workflow. We present this framework and the results of performance measures characterising the standardised workflow in an effort to optimize clinical efficiency and patient safety. Quantitative representations of longitudinal progression of carepath activities were computed from staff-reported timestamps queried from the EMR. Performance measures evaluated included staff compliance in completing assigned tasks, timeliness in task completion, and the time to complete different tasks. The framework developed allows for informed, data-driven decisions regarding clinical workflow management and the impact of changes on existing workflow as we seek to optimize clinical efficiency and safety, and incorporate new interventions into clinical practice.;Reshma Munbodh;Kara L. Leonard;Eric E. Klein;;;;Workflow tracking;Performance evaluation;Cancer;;;;;
75;2020;abutalipov2021handshape;Handshape Classification in a Reverse Dictionary of Sign Languages for the Deaf;This paper showcases the work that aims at building a user-friendly mobile application of a reverse dictionary to translate sign languages to spoken languages. The concept behind the reverse dictionary is the ability to perform a video-based search by demonstrating a handshape in front of a mobile phone's camera. The user would be able to use this feature in two ways. Firstly, the user would be able to search for a word by showing a handshape for the application to provide a list of signs that contain that handshape. Secondly, the user could fingerspell the word letter by letter in front of the camera for the application to return the sign that corresponds to that word. The user can then look through the suggested videos and see their written translations. To offer other functionalities, the application also has Search by Category and Search by Word options. Currently, the reverse dictionary supports translations from Russian Sign Language (RSL) to Russian language.;Alikhan Abutalipov;Aigerim Janaliyeva;Medet Mukushev;Antonio Cerone;Anara Sandygulova;;Reverse dictionary;Sign language dictionary;Fingerspelling recognition;Video-based search interface;Human-computer interaction;iOS application;Russian Sign Language (RSL);
76;2021;vandin2021multivesta;MultiVeStA: Statistical Analysis of Economic Agent-Based Models by Statistical Model Checking;We overview our recent work on the statistical analysis of simulation models and, especially, economic agent-based models (ABMs). We present a redesign of MultiVeStA, a fully automated and model-agnostic toolkit that can be integrated with existing simulators to inspect simulations and perform counterfactual analysis. Our approach: (i) is easy-to-use by the modeler, (ii) improves reproducibility of results, (iii) optimizes running time given the modeler's machine, (iv) automatically chooses the number of required simulations and simulation steps to reach user-specified statistical confidence, and (v) automatically performs a variety of statistical tests. In particular, our framework is designed to distinguish the transient dynamics of the model from its steady-state behavior (if any), estimate properties of the model in both "phases", and provide indications on the ergodic (or non-ergodic) nature of the simulated processes – which, in turns allows one to gauge the reliability of a steady-state analysis. Estimates are equipped with statistical guarantees, allowing for robust comparisons across computational experiments. This allows us to obtain new insights from models from the literature, and to fix some erroneous conclusions on them.;Andrea Vandin;Daniele Giachini;Francesco Lamperti;Francesca Chiaromonte;;;Agent-based models;Statistical model checking;Ergodicity analysis;Transient analysis;Warmup estimation;T-test and power;;
77;2021;cerone2021ten;Ten Years of DataMod: The Synergy of Data-Driven and Model-Based Approaches;DataMod was founded in 2012 under the acronym of MoKMaSD (Modelling and Knowledge Management for Sustainable Development). The original aim of the Symposium, established by the United Nations University, was to focus on modelling and analysing complex systems while using knowledge management strategies, technology and systems to address problems of sustainable development in various domain areas. The focus was soon expanded to generally addressing the complementarity of model-based and data-driven approaches and the synergetic efforts that can lead to the successful combination of these two approaches. Hence the new name of the Symposium: "From Data to Models and Back" and the new acronym, which have been used since 2016. In this paper we will start from the origins and history of DataMod and will look into the community formed around the Symposium in order to identify some research areas that have been addressed during its first 10 years of life. In this perspective, we will try to understand to which extent the two components of the DataMod community managed to integrate and which synergies between data-driven and model-based approaches have emerged. We will also have a look at what is happening outside DataMod and we will finally discuss which research and collaboration challenges should be addressed by future editions of DataMod.;Antonio Cerone;;;;;;Data-driven approached;Model-based approaches;Formal modelling;Machine learning;Process mining;;;
78;2021;nasti2021analysis;Analysis and Verification of Robustness Properties in Becker-Döring Model;Many biochemical processes in living cells involve clusters of particles. Such processes include protein aggregation and the development of intracellular concentration gradients. To study these mechanisms, we can apply coagulation-fragmentation models describing populations of interacting components. In this context, the Becker-Döring equations - theorized in 1935 - provide the simplest kinetic model to describe condensations phenomena. Experimental works on this model reveal that it exhibits robustness, defined as the system's capability to preserve its features despite noise and fluctuations. Here, we verify the robustness of the BD model, applying our notions of initial concentration robustness (α-robustness and β-robustness), which are related to the influence of the perturbation of the initial concentration of one species (i.e., the input) on the concentration of another species (i.e., the output) at the steady state. Then, we conclude that a new definition of robustness, namely the asymptotic robustness, is necessary to describe more accurately the model's behavior.;Lucia Nasti;Roberta Gori;Paolo Milazzo;;;;Becker-Döring equations;Robustness;Modeling;Simulation;;;;
79;2021;baranov2021secure;A Secure User-Centred Healthcare System: Design and Verification;With ever increasing amounts of travel, it is essential to have access to a patient's medical data from different sources including many jurisdictions. The Serums project addresses this goal by creating a healthcare sharing system that places privacy and security aspects at the center. This raises significant challenges to both maintain privacy and security of medical data and to allow for sharing and access. To address these strict requirements the Serums system design is supported by formal methods where design decisions are modelled and checked to meet safety and security properties. We report an experience in support of the system design with formal modelling with the Uppaal tool and analysis with exhaustive and statistical model checking. Results show that statistical model checking being a simulation-based technique can significantly improve feasibility of analysis while providing support for design decisions to ensure privacy and security.;Eduard Baranov;Juliana Bowles;Thomas Given-Wilson;Axel Legay;Thais Webber;;Healthcare;Data sharing;Privacy;Security;Design verification;Formal modelling;;
80;2021;banton2021model;Model-Based Security Assessment on the Design of a Patient-Centric Data Sharing Platform;The architectural design of a healthcare data sharing system must cope with security requirements especially when the system integrates different data sources and patient-centric features. The design choices come with different risks, where vulnerabilities and threats highly depend on how the system components interact and depend on each other to operate as well as how it handles the external connections. This paper focuses on security aspects arising early in the design phase of a patient-centric system. The system presents a blend of emergent technologies such as novel authentication methods, blockchain for access control, and a data lake for patient metadata storage and retrieval based on access rules. We exploit a model-based approach to tackle security assessment using attack-defense trees (ADtrees) formalism and other support diagrams altogether as a way to model and analyse potential attack paths to the system and its countermeasures. The modelling approach helps creating a framework to support the attack vectors analysis and the proposal of appropriate defense mechanisms within the system architecture.;Matthew Banton;Thais Webber;Agastya Silvina;Juliana Bowles;;;Healthcare systems;Patient-centric system;Data sharing;Security assessment;Attack-defense trees;;;
81;2021;bussi2021towards;Towards Model Checking Video Streams Using VoxLogicA on GPUs;We present a feasibility study on the use of spatial logic model checking for real-time analysis of high-resolution video streams with the tool VoxLogicA. VoxLogicA is a voxel-based image analyser based on the Spatial Logic for Closure Spaces, a logic catered to deal with properties of spatial structures such as topological spaces, graphs and polyhedra. The underlying language includes operators to model proximity and reachability. We demonstrate, via the analysis of a series of video frames from a well-known video game, that it is possible to analyse high-resolution videos in real-time by exploiting the speed-up of VoxLogicA-GPU, a recently developed GPU-based version of the tool, which is 1–2 orders of magnitude faster than its previous iteration. Potential applications of real-time video analysis include medical imaging applications such as ultrasound exams, and other video-based diagnostic techniques. More broadly speaking, this work can be the first step towards novel information retrieval methods suitable to find information in a declarative way, in possibly large collections of video streams.;Laura Bussi;Vincenzo Ciancia;Fabio Gadducci;Diego Latella;Mieke Massink;;;;;;;;;
82;2021;pellungrini2021privacy;Privacy Risk and Data Utility Assessment on Network Data;In the modern Internet era the usage of social networks such as Twitter, Instagram and Facebook is constantly increasing. The analysis of this type of data can help us understand interesting social phenomena, because these networks intrinsically capture the new nature of user interactions. Unfortunately, social network data may reveal personal and sensitive information about users, leading to privacy violations. In this paper, we propose a study of privacy risk for social network data. In particular, we empirically analyze a set of privacy attacks on social network data by using the privacy risk assessment framework PRUDEnce. After simulating the attacks on real data, we first analyze how the privacy risk is distributed over the whole population. Then, we study the effect of high-risk users sanitization on some common network metrics.;Roberto Pellungrini;;;;;;Privacy;Attack models;Social networks;;;;;
83;2021;gray2021detecting;Detecting Anxiety Trends Using Wearable Sensor Data in Real-World Situations;Anxiety can manifest through a range of physiological changes. We develop methods to detect anxiety among medical residents making case presentations in a clinical setting using wearable sensors and machine learning. A number of classifiers are tested on different features extracted from real-time physiological measurements. Our results indicate that anxiety can be detected among healthy volunteers in clinical setting and serve as an introduction to future wearable sensing studies for applications in radiation oncology.;Marissa Gray;Shweta Majumder;Kate Nelson;Reshma Munbodh;;;Wearable sensors;Machine learning;Anxiety detection;Radiation oncology;Heart Rate Variability (HRV);;;
84;2021;piho2021combining;Combining Quantitative Data with Logic-Based Specifications for Parameter Inference;Continuous time Markov chains are a common mathematical model for a range of natural and computer systems. An important part of constructing such models is fitting the model parameters based on some observed data or prior domain knowledge. In this paper we consider the problem of fitting model parameters with respect to a mix of quantitative data and data formulated as temporal logic formulae. Our approach works by defining a set of conditions that capture the dynamics inferred by the quantitative data. This allows for a straightforward way to combine the information from the quantitative and logically specified knowledge into one parameter inference problem via rejection sampling.;Paul Piho;Jane Hillston;;;;;;;;;;;;
85;2021;sochor2021refinement;A Refinement Based Algorithm for Learning Program Input Grammars;We propose and discuss a new algorithm for learning (or equivalently synthesizing) grammars. The algorithm provides good approximations to the set of valid inputs accepted by computer programs. Different to previous works, our algorithm assumes a seed grammar whose language grossly overestimates the target program input language, in the sense that it ideally constitutes a super-set of that. It works by reducing the set of productions from the seed grammar through a heuristically guided process of step-by-step refinement, until a good approximation of the target language is achieved. Evaluation results presented in this paper show that the algorithm can work well in practice, despite the fact that its theoretical complexity is high. We present the algorithm in the context of a use-case and consider possible forms of seed grammar extraction from program abstract syntax trees.;Hannes Sochor;Flavio Ferrarotti;;;;;Program input;Grammar;Learning;Synthesis;Fuzzing;;;
86;2021;li2021spatio;Spatio-temporal Model Checking for 3D Individual-Based Biofilm Simulations;Individual-based microbial modelling (IbM) is a bottom-up approach to study how the heterogeneity of individual microorganisms and their local interactions influence the behaviour of microbial communities. In IbM, microbes are represented as particles endowed with a set of biological and physical attributes. These attributes are affected by both intra- and extra-cellular processes resulting in the emergence of complex spatial and temporal behaviours, such as the morphology of microbial colonies. However, the quantitative and qualitative analysis of such behaviours is difficult and often relies on visual inspection of large quantities of simulation data or on the implementation of sophisticated algorithms for data analysis. In this work, we aim to alleviate the problem by applying SSTL (Signal Spatio-Temporal Logic) model checking to formally analyse the spatial and temporal properties of 3D microbial simulations (so-called traces). Complex behaviours can be then described by simple logical formulas and automatically verified by a model checker. We apply SSTL to analyse several outstanding spatio-temporal behaviours regarding biofilm systems, including biofilm surface dynamics, their detachment and deformation under fluid conditions.;Bowen Li;Jayathilake Pahala Gedara;Yuqing Xia;Thomas P. Curtis;Paolo Zuliani;;Spatio-temporal model checking;Individual-based modelling;SSTL;NUFEB;Biofilm;;;
87;2021;cerone2021web;A Web-Based Tool for Collaborative Modelling and Analysis in Human-Computer Interaction and Cognitive Science;Human-computer interaction and cognitive science are interdisciplinary areas in which computer scientists and mathematicians often work together with social scientists, such as psychologists and sociologists, as well as with more focussed practitioners such as usability experts and system analysts. In order to work effectively, interdisciplinary teams need to agree on a common communication language as a compromise between the computer scientists and mathematicians' formal modelling approach and the conceptual models normally used by social scientists for describing their domain-related theories and frameworks. Moreover, even when proper communication is established within a specific research team, the next challenge is the presentation of the result to a heterogeneous international community, to allow for cross-fertilisation, exchanges of ideas, sharing of models, results and data, work replication and review. This tool paper presents ColMASC, a web-based tool and portal for the collaborative modelling and analysis of human cognition and behaviour as well as interactive systems. ColMASC aim is for researchers in human computer interaction and cognitive science to freely use the tool provided by the web portal in order to collaborate in the development of models of computer/physical systems as well as human behaviour, run in silico experiments, compare the results of in silico experiments and experiments with human beings, perform simulations, analyse systems consisting of computer/physical components and human components, as well as download and upload datasets and models. Domain oriented modelling and visualisation interfaces ease the modelling and analysis processes by hiding the simulation and formal analysis engines.;Antonio Cerone;Anel Mengdigali;Nuray Nabiyeva;Temirlan Nurbay;;;Tool development;Formal methods;Collaborative research;Human-computer interaction;Cognitive science;;;
